Air Force,MWC,1,5,0.167,15.7,28.5,-6.32
Akron,MAC,1,6,0.143,16.4,37.4,2.56
Alabama,SEC,5,1,0.833,41.7,20.8,7.68
Appalachian State,Sun Belt (East),2,4,0.333,25.7,38.2,-2.12
Arizona,Big 12,3,3,0.5,25.7,26.5,0.64
Arizona State,Big 12,5,1,0.833,32.2,23,-0.4
Arkansas,SEC,4,2,0.667,33,19.2,0.15
Arkansas State,Sun Belt (West),3,3,0.5,19,32,-0.15
Army,American,6,0,1,39.7,9.8,-9.38
Auburn,SEC,2,4,0.333,30,20.8,0.32
Ball State,MAC,2,4,0.333,27,46,-2.89
Baylor,Big 12,2,4,0.333,28,24,1.2
Boise State,MWC,5,1,0.833,46.8,26.2,-0.09
Boston College,ACC,4,2,0.667,27.2,17.2,1.15
Bowling Green,MAC,2,4,0.333,24.8,24,0.49
Buffalo,MAC,4,2,0.667,20,22.7,-0.98
BYU,Big 12,6,0,1,34.3,16.3,-0.7
California,ACC,3,3,0.5,24.2,17.8,0.36
Central Michigan,MAC,3,3,0.5,29.2,29,-6.66
Charlotte,American,3,3,0.5,24,31.7,-0.5
Cincinnati,Big 12,4,2,0.667,31,20.2,0.36
Clemson,ACC,5,1,0.833,41,21.7,-0.17
Coastal Carolina,Sun Belt (East),4,2,0.667,33.2,31.2,-2.59
Colorado,Big 12,4,2,0.667,30.5,24.3,1.08
Colorado State,MWC,3,3,0.5,22.7,29.5,-0.6
Connecticut,Ind,4,2,0.667,35.8,21.7,-1.92
Duke,ACC,5,1,0.833,26.3,17.5,-1.58
East Carolina,American,3,3,0.5,26.5,24.7,-7.98
Eastern Michigan,MAC,4,2,0.667,29.3,24.8,-7.64
Florida,SEC,3,3,0.5,28,24.2,4.08
Florida Atlantic,American,2,4,0.333,24.5,26.5,0.07
Florida International,CUSA,2,4,0.333,27,28.5,-3.88
Florida State,ACC,1,5,0.167,14.8,25.3,9.47
Fresno State,MWC,3,3,0.5,28.8,27.5,-4.53
Georgia,SEC,5,1,0.833,33.5,17.2,4.14
Georgia Southern,Sun Belt (East),4,2,0.667,30.3,30.5,1.32
Georgia State,Sun Belt (East),2,3,0.4,21.4,29.4,0.37
Georgia Tech,ACC,5,2,0.714,32.9,21.4,1.12
Hawaii,MWC,2,4,0.333,21.3,20.5,-4.55
Houston,Big 12,2,4,0.333,13.7,20.5,5.6
Illinois,Big Ten,5,1,0.833,31,20,-1.02
Indiana,Big Ten,6,0,1,47.5,14.8,-3.53
Iowa,Big Ten,4,2,0.667,29.2,17.7,5.22
Iowa State,Big 12,6,0,1,30.7,11,-0.42
Jacksonville State,CUSA,3,3,0.5,39.3,30.8,-8.62
James Madison,Sun Belt (East),5,1,0.833,39,16.3,-3.89
Kansas,Big 12,1,5,0.167,28.5,25.7,2.21
Kansas State,Big 12,5,1,0.833,31.3,21,2.32
Kennesaw State,CUSA,0,5,0,14.6,36,-6.96
Kent State,MAC,0,6,0,18.2,49,0.99
Kentucky,SEC,3,3,0.5,20.5,14.5,5.84
Liberty,CUSA,5,0,1,33,21.2,-14.5
Louisiana,Sun Belt (West),5,1,0.833,34.2,22.7,-10.07
Louisiana Tech,CUSA,2,3,0.4,24.6,21.6,-11.16
Louisiana-Monroe,Sun Belt (West),5,1,0.833,22.8,20,-1.89
Louisville,ACC,4,2,0.667,36.2,19.7,4.03
LSU,SEC,5,1,0.833,34.2,22.3,2.46
Marshall,Sun Belt (East),3,3,0.5,29.2,27.3,1.71
Maryland,Big Ten,3,3,0.5,29.5,24.3,3.71
Massachusetts,Ind,1,6,0.143,16.9,33.3,-0.37
Memphis,American,5,1,0.833,31.2,15.8,-5.36
Miami (FL),ACC,6,0,1,47.7,18.8,-1.77
Miami (OH),MAC,2,4,0.333,17.7,22,2.82
Michigan,Big Ten,4,2,0.667,23.5,22.3,7.02
Michigan State,Big Ten,3,3,0.5,19.8,21,5.87
Middle Tennessee State,CUSA,1,5,0.167,16.8,40.5,1.34
Minnesota,Big Ten,4,3,0.571,25,15.9,2.85
Mississippi State,SEC,1,5,0.167,28,33.2,6.62
Missouri,SEC,5,1,0.833,33.5,15.3,0.31
Navy,American,5,0,1,43.6,20.2,-8.79
Nebraska,Big Ten,5,1,0.833,28,11.3,-3.53
Nevada,MWC,3,4,0.429,27.3,27.1,0.61
Nevada-Las Vegas,MWC,5,1,0.833,45.3,22.2,-4.03
New Mexico,MWC,2,4,0.333,35.3,42.7,-9.82
New Mexico State,CUSA,1,5,0.167,18.5,38.2,-7.44
North Carolina,ACC,3,4,0.429,32.9,30.4,3.4
North Carolina State,ACC,3,4,0.429,26.3,32.3,1.15
North Texas,American,5,1,0.833,40.8,33,-7.04
